,seccion,titulo,url,cmp,idx,dominio,crawl_day
25,economia,El fracaso de la fusión de los dos grandes canales de televisión reabre la guerra por el control de los medios en Francia,https://www.eldiario.es/economia/fracaso-fusion-grandes-canales-television-reabre-guerra-control-medios-francia_1_9585961.html,Potito,4,www.eldiario.es,2022-10-03
26,catalunya,Catalunya celebra el quinto aniversario del 1 de octubre en un clima crispado por la pelea entre ERC y Junts,https://www.eldiario.es/catalunya/miles-personas-reivindican-quinto-aniversario-1-barcelona_1_9587230.html,Politica,0,www.eldiario.es,2022-10-03
27,madrid,Almeida recurre a multas desproporcionadas ante la suciedad que sigue desbordando Madrid,https://www.eldiario.es/madrid/somos/almeida-recurre-multas-desproporcionadas-suciedad-sigue-desbordando-madrid_1_9579275.html,Politica,3,www.eldiario.es,2022-10-03
28,comunitat-valenciana,"La presunta red de blanqueo de la mafia rusa recuperará casas, coches y relojes de lujo por el error de una jueza",https://www.eldiario.es/comunitat-valenciana/presunta-red-blanqueo-mafia-rusa-recuperara-casas-coches-relojes-lujo-error-jueza_1_9581743.html,Politica,5,www.eldiario.es,2022-10-03
29,galicia,Cunqueiro antes de ser Cunqueiro: un libro rescata los artículos del escritor en 'El Pueblo Gallego' durante la República,https://www.eldiario.es/galicia/cunqueiro-cunqueiro-libro-rescata-articulos-escritor-pueblo-gallego-durante-republica_1_9570695.html,Sociedad,0,www.eldiario.es,2022-10-03
30,andalucia,Sevilla declara este lunes la alerta por sequía y prohibe usar agua para fines no esenciales,https://www.eldiario.es/andalucia/sevilla-declara-lunes-alerta-sequia-prohibe-agua-fines-no-esenciales_1_9588035.html,Sociedad,2,www.eldiario.es,2022-10-03
31,canariasahora,Salvamento recupera los cuatro cadáveres de la neumática localizada con un superviviente,https://www.eldiario.es/canariasahora/migraciones/salvamento-recupera-cuatro-cadaveres-neumatica-localizada-superviviente_1_9588458.html,Sociedad,3,www.eldiario.es,2022-10-03
32,sociedad,Exceso de vacunas: España tiene 44 millones de dosis adaptadas a ómicron para 12 millones de personas,https://www.eldiario.es/sociedad/exceso-vacunas-espana-44-millones-dosis-adaptadas-omicron-12-millones-personas_1_9577213.html,Sociedad,4,www.eldiario.es,2022-10-03
33,castilla-la-mancha,El equipo de fútbol de veteranos al que su polémico alcalde no deja jugar en casa: “Es un asunto político”,https://www.eldiario.es/castilla-la-mancha/provincias/ciudad_real/equipo-futbol-veteranos-polemico-alcalde-no-deja-jugar-casa-asunto-politico_1_9581777.html,Sociedad,6,www.eldiario.es,2022-10-03
34,,"Hablar de cáncer y sexualidad, un gesto para romper tabúes",https://www.eldiario.es/edcreativo/diario-salud/sexualidad-cancer-conversacion-pendiente-medico-paciente_1_9313828.html,elDiariobrands,1,www.eldiario.es,2022-10-03
35,,‘Finanzas para mortales’: un programa de cursos de ciberseguridad y banca digital dirigido a colectivos vulnerables,https://www.eldiario.es/edcreativo/finanzas-mortales-programa-cursos-ciberseguridad-banca-digital-dirigido-colectivos-vulnerables_1_9543471.html,elDiariobrands,2,www.eldiario.es,2022-10-03
36,,Esta es la carrera que te enseña Madrid desde dentro mientras practicas tu deporte favorito,https://www.eldiario.es/edcreativo/carrera-ensena-madrid-practicas-deporte-favorito_1_9558886.html,elDiariobrands,3,www.eldiario.es,2022-10-03
37,internacional,"Los awa guajá, el pueblo amazónico que busca salvar la selva: “Estamos en la lucha y en la esperanza”",https://www.eldiario.es/internacional/awa-guaja-pueblo-amazonico-busca-salvar-selva-lucha-esperanza_130_9586578.html,Política,0,www.eldiario.es,2022-10-03
38,internacional,Florida reporta más de 50 muertos por el huracán Ian y 4 Carolina del Norte,https://www.eldiario.es/internacional/ian-produce-fuertes-lluvias-partes-ee-uu-golpear-sureste_1_9587382.html,Política,1,www.eldiario.es,2022-10-03
39,internacional,EEUU libera a dos familiares de Maduro a cambio de siete ciudadanos estadounidenses,https://www.eldiario.es/internacional/ee-uu-libera-familiares-maduro-cambio-siete-estadounidenses_1_9587626.html,Política,2,www.eldiario.es,2022-10-03
40,economia,El auge del empleo reduce los jóvenes que ni estudian ni trabajan hasta mínimos históricos ,https://www.eldiario.es/economia/auge-empleo-reduce-jovenes-estudian-minimos-historicos-espana_1_9584250.html,Economía,0,www.eldiario.es,2022-10-03
41,andalucia,Viaje de ida en VTC y de vuelta en taxi: del “hay sitio para todos” al “nos vemos ante la Justicia”,https://www.eldiario.es/andalucia/sevilla/viaje-ida-vtc-vuelta-taxi-hay-sitio-vemos-justicia_1_9587529.html,Economía,3,www.eldiario.es,2022-10-03
42,politica,Del impulsor del Zendal a responsables de los recortes o del copago de Rajoy: los últimos fichajes del PP de Feijóo,https://www.eldiario.es/politica/impulsor-zendal-responsables-recortes-copago-rajoy-ultimos-fichajes-pp-feijoo_1_9584726.html,Economía,5,www.eldiario.es,2022-10-03
43,andalucia,Abengoa: un relato del hundimiento de la primera multinacional andaluza,https://www.eldiario.es/andalucia/economia/abengoa-relato-hundimiento-primera-multinacional-andaluza_1_9565905.html,Economía,7,www.eldiario.es,2022-10-03
44,economia,El mercado sentencia al Reino Unido: no tocan rebajas fiscales ‘ideológicas’ que engorden la inflación y la deuda,https://www.eldiario.es/economia/mercado-sentencia-reino-unido-no-tocan-rebajas-fiscales-ideologicas-engorden-inflacion-deuda_1_9585088.html,Economía,9,www.eldiario.es,2022-10-03
45,redaccion,"'Un tema Al Día', “podcast imprescindible” para Apple Podcast",https://www.eldiario.es/redaccion/tema-dia-podcast-imprescindible-apple-podcast_132_9584202.html,Economía,11,www.eldiario.es,2022-10-03
46,blog,El fenómeno ‘Aquí no hay quien viva’,https://www.eldiario.es/blog/al-dia/podcast-fenomeno-no-hay-viva_132_9582001.html,home-sin-identificar,4,www.eldiario.es,2022-10-03
47,carnecruda,Residencias: así los dejaron morir,https://www.eldiario.es/carnecruda/programas/residencias-dejaron-morir_132_9576608.html,home-sin-identificar,6,www.eldiario.es,2022-10-03
48,sociedad,"Escucha 'Máster', la intrahistoria de la investigación del caso Cifuentes en eldiario.es",https://www.eldiario.es/sociedad/caso-cifuentes-cristina-cifuentes-podcast-investigacion_1_1512380.html,home-sin-identificar,7,www.eldiario.es,2022-10-03
