,seccion,titulo,url,cmp,idx,dominio,crawl_day
1134,internacional,Ucrania encara un invierno duro tras los ataques rusos contra el suministro energético,https://www.eldiario.es/internacional/theguardian/ucrania-encara-invierno-duro-ataques-rusos-suministro-energetico_1_9636306.html,Apertura,9,www.eldiario.es,2022-10-20
1135,internacional,Borrell se pierde en una jungla de metáforas,https://www.eldiario.es/internacional/borrell-pierde-jungla-metaforas_129_9635915.html,Poti,0,www.eldiario.es,2022-10-20
1136,economia,El mercado sentencia al Gobierno de ultraderecha de Italia y su dependencia económica de Rusia,https://www.eldiario.es/economia/mercado-sentencia-gobierno-ultraderecha-italia-dependencia-economica-rusia_1_9635789.html,Poti,2,www.eldiario.es,2022-10-20
1137,internacional,La sombra alargada de las relaciones de Berlusconi con Putin sacude al Gobierno italiano antes de nacer,https://www.eldiario.es/internacional/sombra-alargada-relaciones-berlusconi-putin-sacude-gobierno-italiano-nacer_1_9638355.html,Poti,5,www.eldiario.es,2022-10-20
1138,sociedad,Cada vez más mujeres y trabajadores se ven obligados a vivir en la calle,https://www.eldiario.es/sociedad/vez-mujeres-trabajadores-ven-obligados-vivir-calle_1_9637500.html,Poti,8,www.eldiario.es,2022-10-20
1139,euskadi,Detenida en Bilbao la mujer que secuestró vestida de sanitaria un bebé en el hospital de Basurto,https://www.eldiario.es/euskadi/piden-colaboracion-ciudadana-buscar-mujer-secuestro-bebe-hospital-basurto-bilbao_1_9638916.html,Poti,11,www.eldiario.es,2022-10-20
1140,andalucia,"La salida de los restos de Queipo de la Macarena, aún sin fecha: la Ley de Memoria no establece plazos para las exhumaciones",https://www.eldiario.es/andalucia/sevilla/salida-restos-queipo-macarena-fecha-ley-memoria-no-establece-plazos-exhumaciones_1_9637947.html,Poti,13,www.eldiario.es,2022-10-20
1141,madrid,Ayuso cambia el nombre a las urgencias de Atención Primaria que reabrirán el día 27 con el personal en huelga,https://www.eldiario.es/madrid/ayuso-cambia-nuevo-nombre-urgencias-atencion-primaria-reabriran-dia-27-personal-huelga_1_9639345.html,Poti,16,www.eldiario.es,2022-10-20
1142,catalunya,"El auge de las patrullas caninas en la policía local, un fenómeno que crece sin regulación ni control",https://www.eldiario.es/catalunya/auge-patrullas-caninas-policia-local-fenomeno-crece-regulacion-control_1_9632500.html,Poti,19,www.eldiario.es,2022-10-20
1143,tecnologia,La primera lanzadora española de cohetes espaciales: “Somos como una empresa de transporte”,https://www.eldiario.es/tecnologia/primera-lanzadora-espanola-cohetes-espaciales-empresa-transporte_1_9619249.html,Poti,21,www.eldiario.es,2022-10-20
1144,illes-balears,“Está claramente obesa”: un patrón de barco achaca al sobrepeso un accidente de una menor para librarse de la cárcel,https://www.eldiario.es/illes-balears/sociedad/claramente-obesa-patron-barco-achaca-sobrepeso-accidente-menor-librarse-carcel_1_9629318.html,Poti,27,www.eldiario.es,2022-10-20
1145,cultura,"En la UCI Pediátrica, episodio 2: 'El equipo'",https://www.eldiario.es/cultura/podcast-uci-pediatrica-episodio-2-equipo_1_9637426.html,Cinturon1,3,www.eldiario.es,2022-10-20
1146,sociedad,Los brazaletes arcoíris en el Mundial de fútbol de Qatar: ¿símbolo por los derechos o limpiaconciencias?,https://www.eldiario.es/sociedad/debate-brazaletes-arcoiris-mundial-futbol-qatar-simbolo-derechos-limpiaconciencias_1_9636270.html,Cinturon1,5,www.eldiario.es,2022-10-20
1147,consumoclaro,Té Matcha: ¿son sus virtudes superiores a las del té verde?,https://www.eldiario.es/consumoclaro/comer/matcha-son-virtudes-superiores-verde_1_9632066.html,Cinturon1,7,www.eldiario.es,2022-10-20
1148,internacional,Doce heridos por fuertes turbulencias en un vuelo entre Madrid y Buenos Aires,https://www.eldiario.es/internacional/nueve-heridos-tres-hospitalizados-fuertes-turbulencias-vuelo-aerolineas-argentinas_1_9639039.html,Potito,0,www.eldiario.es,2022-10-20
1149,sociedad,"Gema Moreno-Bueno: “En el cáncer de mama, un diagnóstico precoz es casi una garantía de éxito”",https://www.eldiario.es/sociedad/gema-moreno-bueno-cancer-mama-diagnostico-precoz-garantia-exito_128_9636622.html,Potito,1,www.eldiario.es,2022-10-20
1150,cultura,Alberto Vázquez desata la guerra entre osos amorosos y unicornios: “En la animación hay casi pleno empleo”,https://www.eldiario.es/cultura/cine/alberto-vazquez-desata-guerra-osos-amorosos-unicornios-animacion-hay-pleno-empleo_1_9636054.html,Potito,3,www.eldiario.es,2022-10-20
1151,desalambre,"Los campamentos de refugiados saharauis, sin apenas médicos en medio de la guerra",https://www.eldiario.es/desalambre/campamentos-refugiados-saharauis-apenas-medicos-medio-guerra_1_9634711.html,Política,0,www.eldiario.es,2022-10-20
1152,internacional,El Gobierno francés aprueba por decreto los presupuestos en un Parlamento dividido,https://www.eldiario.es/internacional/gobierno-frances-fuerza-presupuesto-abre-mocion-censura_1_9637869.html,Política,2,www.eldiario.es,2022-10-20
1153,consumoclaro,Tengo el ojo irritado con frecuencia: ¿puede ser conjuntivitis crónica?,https://www.eldiario.es/consumoclaro/cuidarse/ojo-irritado-frecuencia-conjuntivitis-cronica_1_9621178.html,Política,5,www.eldiario.es,2022-10-20
1154,catalunya,La abstención de ERC y Junts permite la tramitación inicial de los presupuestos de Barcelona,https://www.eldiario.es/catalunya/barcelona/abstencion-erc-junts-permite-tramitacion-inicial-presupuestos-barcelona_1_9639109.html,Politica,2,www.eldiario.es,2022-10-20
1155,euskadi,Asuntos Internos no sancionará a los dos ertzainas señalados en un informe por patear y golpear a dos detenidos,https://www.eldiario.es/euskadi/asuntos-internos-no-sancionara-ertzainas-senalados-informe-patear-golpear-detenidos_1_9637850.html,Politica,7,www.eldiario.es,2022-10-20
1156,edcreativo,"El desafío global que busca paliar el hambre, promover la seguridad alimentaria y la agricultura sostenible",https://www.eldiario.es/edcreativo/desafio-global-busca-paliar-hambre-promover-seguridad-alimentaria-agricultura-sostenible_1_9629440.html,elDiariobrands,1,www.eldiario.es,2022-10-20
