,pos,url,crawl_day
123,37,https://www.eldebate.com/espana/20221003/no-saben-no-contestan-cupula-eta-niega-explicar-como-planifico-asesinato-pequena-silvia_63715.html#disqus_thread_box,2022-10-03
124,40,https://www.eldebate.com/gente/20220910/jesus-quintero-periodista-sonaba-actor-llego-mas-alto-haciendo-historia-television_59099.html,2022-10-03
125,41,https://www.eldebate.com/cultura/20221003/perez-reverte-cual-mi-ideologia-depende-pie-me-pisen_63815.html#disqus_thread_box,2022-10-03
126,42,https://www.eldebate.com/cine-tv-series/20221003/eduard-fernandez-desvela-tv3-censuro-critica-independencia-cataluna-bien_63842.html#disqus_thread_box,2022-10-03
127,45,https://www.eldebate.com/internacional/20221003/carlos-iii-elige-escocia-busca-otro-referendum-separatista-primera-aparicion-publica-como-rey_63817.html#disqus_thread_box,2022-10-03
128,58,https://www.eldebate.com/religion/20221003/lanzan-lejia-virgen-rosario-jaen-durante-procesion_63826.html#disqus_thread_box,2022-10-03
129,59,https://www.eldebate.com/espana/madrid/20221003/atropella-mujer-esperaba-cruzar-paso-peatones-da-fuga_63838.html#disqus_thread_box,2022-10-03
130,6,https://www.eldebate.com/espana/20221003/ayuso-elige-terol-como-candidato-alcorcon-pesar-haber-sido-hombres-fuertes-casado_63878.html#disqus_thread_box,2022-10-03
131,7,https://www.eldebate.com/podcast/20221003/expandillero-narra-debate-horrores-bandas-latinas-no-cumples-te-dan-palazos_63868.html#disqus_thread_box,2022-10-03
132,8,https://www.eldebate.com/espana/cataluna/20221003/junts-preguntara-bases-quieren-partido-siga-formando-parte-govern_63795.html#disqus_thread_box,2022-10-03
133,13,https://www.eldebate.com/ciencia/20221003/mision-dart-cumplio-objetivo-confirman-probable-desviacion-asteroide-impactado_63863.html#disqus_thread_box,2022-10-03
134,16,https://www.eldebate.com/sociedad/20221003/detectado-guadalajara-primer-caso-gripe-aviar-humanos-espana_63875.html#disqus_thread_box,2022-10-03
135,38,https://www.eldebate.com/religion/iglesia/20221003/mueller-teoria-genero-transhumanismo-son-frutos-prohibidos-nihilismo_63704.html#disqus_thread_box,2022-10-03
136,40,https://www.eldebate.com/cine-tv-series/20221003/muere-presentador-jesus-quintero_63855.html#disqus_thread_box,2022-10-03
137,41,https://www.eldebate.com/obituarios/20221003/loco-cuerdo_63869.html,2022-10-03
138,42,https://www.eldebate.com/gente/20220910/jesus-quintero-periodista-sonaba-actor-llego-mas-alto-haciendo-historia-television_59099.html#disqus_thread_box,2022-10-03
139,46,https://www.eldebate.com/internacional/20221003/vete-mierda-asi-responde-diplomatico-ucraniano-elon-musk-sobre-soluciones-guerra_63881.html#disqus_thread_box,2022-10-03
140,13,https://www.eldebate.com/economia/20221003/montero-espera-cerrar-horas-presupuestos-aprobarlos-este-martes_63889.html#disqus_thread_box,2022-10-03
141,10,https://www.eldebate.comhttps://info.eldebate.com/especial/mejor-conectados/sonia-alonso.html,2022-10-04
142,55,https://www.eldebate.com/internacional/20221003/video-viral-tina-mujer-denuncia-represion-regimen-irani_63891.html#disqus_thread_box,2022-10-04
143,58,https://www.eldebate.com/cine-tv-series/20221003/cual-record-aciertos-seguidos-pasaplabra_63897.html#disqus_thread_box,2022-10-04
144,61,https://www.eldebate.com/espana/20221003/andalucia-preve-2022-2023-mitad-produccion-aceite-oliva-ano-anterior_63895.html#disqus_thread_box,2022-10-04
145,1,https://www.eldebate.com/economia/20221004/psoe-podemos-alcanzan-acuerdo-in-extremis-llevar-pge-consejo-ministros_63911.html#disqus_thread_box,2022-10-04
146,2,https://www.eldebate.com/opinion/20221004/mi-portugal_63750.html,2022-10-04
147,3,https://www.eldebate.com/autor/jose-maria-rotellar,2022-10-04
